,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
Au@HCNs,1,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,24.845,25,4,12.75,26,2,0,275,9,0,4.5,0,25,0,2,0.26,0.17,0.05,345000000,3.33E+13,287
Au@HCNs,0,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,24.845,25,4,12.75,26,2,0,275,9,0,4.5,0,25,0,0,264.6,0.03,0.09,345000000,3.33E+13,287
Au@HCNs,0,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,13.14,36.5,1,15.585,26.5,2,0,275,9,0,4.5,0,25,1,1,0.15,210,0.33,345000000,3.33E+13,287
V2O5,0,0,0,0,0,0,0,0,0,0,0,100,23,5,33.3,30,2,13.765,25,3,8.875,36,1,4,100,4,3,7.4,2,25,8,0,1,1.28,4.66,345000000,3.33E+13,288
V2O5,0,0,0,0,0,0,0,0,0,0,0,100,23,5,33.3,30,2,13.765,25,3,8.875,36,1,4,100,4,3,7.4,2,25,1,6,2,0.04,3.21,345000000,3.33E+13,288
MoO3,0,0,0,0,0,0,0,0,0,0,0,100,42,6,33.3,30,2,24.845,25,4,15.585,26.5,2,4,250,4,3,7.4,2,25,8,0,1,5.61,5.39,345000000,3.33E+13,289
MoO3,0,0,0,0,0,0,0,0,0,0,0,100,42,6,33.3,30,2,24.845,25,4,15.585,26.5,2,4,250,4,3,7.4,2,25,1,6,2,3.06,14.01,345000000,3.33E+13,289
污-Fe2O3 NPs,0,0,0,0,0,0,0,0,0,0,0,100,26,3,35.185,13,3,9.84,30,2,3.25,46,0,5,10.5,115,0,4.6,0,25,0,0,130,0.31,1.06,3430,4500.05,290
污-Fe2O4 NPs,0,0,0,0,0,0,0,0,0,0,0,100,26,3,35.17,27,1.5,16.64,58,4,9.96,36.5,1,5,10.5,115,0,4.6,0,25,1,1,500.04,323.6,1.17,3790,4500.05,291
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,16.27,41.5,3.5,9.375,26,2,5,20,4,0,5,0,25,0,0,100,0.04,0.06,183,2400000.005,180
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,16.64,58,4,9.96,36.5,1,5,20,4,0,5,0,25,1,1,0.3,140.07,0.12,353,0.115,180
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,16.64,58,4,9.375,26,2,5,7.2,35,0,3.6,0,25,0,0,663.8,0.1,0.26,101.19,982427.18,180
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,16.64,58,4,9.96,36.5,1,5,7.2,35,0,3.6,0,25,1,1,1.65,173.51,0.19,74.7,430.52,180
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.64,58,4,9.375,26,2,0,8.1,4,0,3.6,0,25,0,0,663.8,0.23,0.18,22.22,95364.81,79
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.64,58,4,9.96,36.5,1,0,8.1,4,0,3.6,0,25,1,1,1.65,479.91,0.28,34.72,72.35,79
PVP-IrNPs,0,1,0,0,0,0,0,0,0,0,0,100,77,0,19.565,62.5,0,2.28,62,0,3.52,36.5,1.5,0,1.5,60,3,4.5,0,25,0,0,50,0.02,0.11,55,2750000,292
PVP-IrNPs,0,1,0,0,0,0,0,0,0,0,0,100,77,0,14,54,0,16.64,58,4,9.96,36.5,1,0,1.5,60,3,4.5,0,25,1,1,0.5,266,0.39,196,736.84,292
PVP-IrNPs,2,1,0,0,0,0,0,0,0,0,0,100,77,0,36,79,0,16.64,58,4,9.96,36.5,1,0,1.5,60,13,7,1,25,1,2,0.205,297,540,1370,4612.79,292
Au-Ft,0,1,0,0,0,0,0,0,0,0,0,100,79,0,14.5,58,3,9.84,30,2,5.5,36,1,0,2,116,0,4,0,45,0,0,100,0.1,0.07,58000,596179972.8,293
Au-Ft,0,1,0,0,0,0,0,0,0,0,0,100,79,0,14.5,58,3,16.64,58,4,9.96,36.5,1,0,2,116,0,4,0,45,1,1,0.3,199.4,0.09,72000,363104.82,293
Fe3(PO4)2﹞8H2O NFs,0,0,1,0,0,0,0,0,0,0,0,100,26,3,14.105,13,3,2.28,62,0,3.52,36.5,1.5,0,100,4,0,3.6,0,55,0,0,0.6,0.36,0.16,60000,166245791.3,294
Fe3(PO4)2﹞8H2O NFs,0,0,1,0,0,0,0,0,0,0,0,100,26,3,3.21,21,1.5,2.28,62,0,3.52,36.5,1.5,0,3.915,4,0,3.6,0,55,1,1,0.8,0.11,0.56,21100,1921487603,294
Pd-Pt NP,0,0,0,0,0,0,0,0,0,0,0,90,78,0,10,46,0,8.085,47,0,3.25,46,0,0,40,117,2,4,0,15,0,0,5,3.11,0.105,345000000,3.33E+13,295
Pd-Pt NP,0,0,0,0,0,0,0,0,0,0,0,90,78,0,10,46,0,7.455,46,0,3.25,46,0,0,40,117,2,4,0,15,1,1,5,33.4,0.105,345000000,3.33E+13,295
MoS2 QDs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,2.28,62,0,3.79,27,3,0,1.38,4,3,6.6,0,25,0,0,0.26,0.12,0.01,345000000,3.33E+13,296
MoS2 QDs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,2.28,62,0,3.79,27,3,0,1.38,4,3,6.6,0,25,1,1,0.26,0.22,0.01,345000000,3.33E+13,296
MoS2 QDs/GQDs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,2.28,62,0,3.79,27,3,0,14.5,9,3,6.6,0,25,0,0,0.26,0.09,0.02,345000000,3.33E+13,297
MoS2 QDs/GQDs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,2.28,62,0,3.79,27,3,0,14.5,9,3,6.6,0,25,1,1,0.26,0.02,0.01,345000000,3.33E+13,297
BiOI,1,0,0,0,0,0,0,0,0,0,1,100,83,3,33.3,30,2,2.28,62,0,3.79,27,3,1,40,4,9,7,1,25,14,2,0.26,0.41,0.1,345000000,3.33E+13,298
Au0.1/BiOI,1,0,0,0,0,0,0,0,0,0,1,98.99,83,3,1.01,79,0,11.01,27,2,3.79,27,3,1,40,4,9,7,1,25,14,2,0.26,0.56,0.1,345000000,3.33E+13,299
Au1/BiOI,1,0,0,0,0,0,0,0,0,0,1,83.98,83,3,16.02,79,0,11.01,27,2,3.79,27,3,1,40,4,9,7,1,25,14,2,0.26,1.01,0.1,345000000,3.33E+13,300
Au10/BiOCl,1,0,0,0,0,0,0,0,1,0,0,79.12,83,3,20.88,79,0,11.01,27,2,3.79,27,3,1,50,4,9,7,1,25,14,2,0.26,2.12,0.1,345000000,3.33E+13,301
VS2,0,0,0,1,0,0,0,0,0,0,0,100,23,4,33.3,30,2,15,23,5,15,23,4,1,4500,4,0,4,0,25,0,0,10,0.28,0.42,345000000,3.33E+13,302
VS2,0,0,0,1,0,0,0,0,0,0,0,100,23,4,33.3,30,2,15,23,5,15,23,4,1,4500,4,0,4,0,25,1,1,0.5,3.49,0.56,345000000,3.33E+13,302
Fe3S4-MNPs,0,0,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,14.25,25,3,12.75,26,2,0,76,5,1,6.78,0,25,0,0,1.2,0.16,0.01,345000000,3.33E+13,303
Fe3S4-MNPs,0,0,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,14.25,25,3,12.75,26,2,0,76,5,1,6.78,0,25,1,1,0.6,1.16,0.02,345000000,3.33E+13,303
WS2 nanosheets,0,0,0,1,0,0,0,0,0,0,0,100,74,4,33.3,30,2,13.765,25,3,9.145,26.5,2.5,1,95,4,5,6.9,0,60,0,0,0.14,1.255,0.105,345000000,3.33E+13,304
WS2 nanosheets,0,0,0,1,0,0,0,0,0,0,0,100,74,4,33.3,30,2,13.765,25,3,9.145,26.5,2.5,1,95,4,5,6.9,0,60,1,1,1.2,1.255,0.105,345000000,3.33E+13,304
MoS2 NSs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,13.765,25,3,8.875,36,1,1,100,4,5,6.9,0,30,0,0,0.08,0.53,0.05,345000000,3.33E+13,305
MoS2 NSs,0,0,0,1,0,0,0,0,0,0,0,100,42,4,33.3,30,2,13.765,25,3,8.875,36,1,1,100,4,5,6.9,0,30,1,1,1.2,0.01,0.04,345000000,3.33E+13,305
CuZnFeS NCs,0,0,0,1,0,0,0,0,0,0,0,47.54,26,3,42.62,29,1,9.84,30,2,3.25,46,0,0,12,118,0,4.2,0,25,0,0,15,2.2,0.39,345000000,3.33E+13,306
CuZnFeS NCs,0,0,0,1,0,0,0,0,0,0,0,47.54,26,3,42.62,29,1,9.84,30,2,3.25,46,0,0,12,118,0,4.2,0,25,1,1,15,0.07,0.01,345000000,3.33E+13,306
Cu(OH)2 SCs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,33.3,24,2,16.67,28,2,15.585,26.5,2,5,200,60,0,4.5,0,25,0,0,0.53,2.45,0.45,38521.07,15735729.66,307
Cu(OH)2 SCs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,33.3,24,2,16.67,28,2,15.585,26.5,2,5,200,60,0,4.5,0,25,1,1,0.8,0.2,0.43,36543.42,183635287.4,307
Cu2(OH)3Cl-CeO2,0,1,0,0,0,0,0,0,0,0,0,66.67,29,2,33.33,58,4,15,23,5,15,23,4,1,7500,4,2,3,0,25,0,0,8,12.36,0.11,345000000,3.33E+13,308
Cu2(OH)3Cl-CeO2,0,1,0,0,0,0,0,0,0,0,0,66.67,29,2,33.33,58,4,15,23,5,15,23,4,1,7500,4,2,3,0,25,1,1,2,11.61,0.08,345000000,3.33E+13,308
Fe2(MoO4)3-F,0,0,0,0,0,0,0,0,0,0,0,61.29,42,6,38.71,26,3,15,23,5,15,23,4,0,2000,4,3,4,0,25,0,0,10,1.13,0.04,345000000,3.33E+13,309
Fe2(MoO4)3-F,0,0,0,0,0,0,0,0,0,0,0,61.29,42,6,38.71,26,3,15,23,5,15,23,4,0,2000,4,3,4,0,25,1,1,0.8,0.11,0.08,345000000,3.33E+13,309
汕-CD-Cu-NCs,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,9.84,30,2,3.25,46,0,0,2,119,3,6,0,30,0,0,10,0.54,0.43,345000000,3.33E+13,310
汕-CD-Cu-NCs,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,9.84,30,2,3.25,46,0,0,2,119,3,6,0,30,1,1,0.5,32.87,0.45,345000000,3.33E+13,310
BSA-Cu-NCs,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,9.84,30,2,3.25,46,0,0,1,80,3,6,0,30,0,0,50,0.65,0.06,345000000,3.33E+13,311
BSA-Cu-NCs,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,6.545,38,1,3.25,46,0,0,1,80,3,6,0,30,1,1,0.5,29.16,0.04,345000000,3.33E+13,311
ZnFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,30,2,2.28,46,0,15,23,4,3,200,4,0,4,0,40,0,0,0.2,0.85,0.13,436000000,5.13E+13,312
ZnFe2O4 MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,30,2,2.28,46,0,15,23,4,3,200,4,0,4,0,40,1,1,0.32,1.66,0.08,254000000,1.53E+13,312
FeS,0,0,0,1,0,0,0,0,0,0,0,100,26,2,33.3,30,2,24.845,25,4,12.75,26,2,2,150,4,0,4,0,25,0,0,13,0.01,0.09,345000000,3.33E+13,313
FeS,0,0,0,1,0,0,0,0,0,0,0,100,26,2,33.3,30,2,24.845,25,4,12.75,26,2,2,150,4,0,4,0,25,1,1,0.1,9.36,0.19,345000000,3.33E+13,313
FeSe,0,0,0,0,0,1,0,0,0,0,0,100,26,2,33.3,30,2,1.815,52,2,3.52,36.5,1.5,0,6,4,0,4,0,25,0,0,13,0.01,0.04,345000000,3.33E+13,314
FeSe,0,0,0,0,0,1,0,0,0,0,0,100,26,2,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,6,4,0,4,0,25,1,1,0.1,8.09,0.07,345000000,3.33E+13,314
BiOBr,0,0,0,0,0,0,0,0,0,1,0,100,83,3,33.3,30,2,16.78,27,2,15,23,4,0,1500,4,0,4,0,40,0,0,0.2,1.61,0.03,345000000,3.33E+13,315
BiOBr,0,0,0,0,0,0,0,0,0,1,0,100,83,3,33.3,30,2,16.78,27,2,15,23,4,0,1500,4,0,4,0,40,1,1,0.79,0.05,0.1,345000000,3.33E+13,315
Fe0.5Co0.5 NPs,0,0,0,0,0,0,0,0,0,0,0,50,26,0,50,27,0,9.96,36,1,9.96,36.5,1,0,12.8,60,0,4,0,35,0,0,50,1.79,0.46,345000000,3.33E+13,316
Fe0.5Co0.5 NPs,0,0,0,0,0,0,0,0,0,0,0,50,26,0,50,27,0,3.25,46,0,3.25,46,0,0,12.8,60,0,4,0,35,1,1,0.8,0.06,0.13,345000000,3.33E+13,316
Fe NPs,0,0,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,2.28,62,0,3.25,46,0,0,12.8,60,0,3.5,0,45,0,0,50,0.38,0.24,345000000,3.33E+13,317
Fe NPs,0,0,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,3.25,46,0,3.25,46,0,0,12.8,60,0,3.5,0,45,1,1,0.8,0.32,0.41,345000000,3.33E+13,317
Co NPs,0,0,0,0,0,0,0,0,0,0,0,100,27,0,33.3,30,2,2.28,62,0,3.25,46,0,0,12.8,60,0,3.5,0,45,0,0,50,5.09,0.1,345000000,3.33E+13,318
Co NPs,0,0,0,0,0,0,0,0,0,0,0,100,27,0,33.3,30,2,3.25,46,0,3.25,46,0,0,12.8,60,0,3.5,0,45,1,1,0.8,1.14,0.02,345000000,3.33E+13,318
VO2 (B),0,0,0,0,0,0,0,0,0,0,0,100,23,4,33.3,30,2,13.765,25,3,8.875,36,1,4,103.1,4,0,5,0,25,0,0,5,0.15,1.31,345000000,3.33E+13,319
VO2 (B),0,0,0,0,0,0,0,0,0,0,0,100,23,4,33.3,30,2,13.765,25,3,8.875,36,1,4,103.1,4,0,5,0,25,1,1,0.1,1.69,1.77,345000000,3.33E+13,319
GO每Fe3O4 ,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.17,68.5,1.5,3.25,46,0,0,8,11,3,4,0,40,0,0,5,0.43,0.13,345000000,3.33E+13,320
GO每Fe3O4 ,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.17,68.5,1.5,3.25,46,0,0,8,11,3,4,0,40,1,1,0.64,0.71,0.05,345000000,3.33E+13,320
Fe-MSN,0,1,0,0,1,0,0,0,1,0,0,100,26,3,33.3,30,2,7.455,46,0,9.96,36.5,1,0,100,87,3,7.4,1,40,0,0,4,0.02,0.01,345000000,3.33E+13,321
Fe-MSN,0,1,0,0,1,0,0,0,1,0,0,100,26,3,33.3,30,2,15.95,58,4,16.67,27,2,0,100,87,3,7.4,1,40,1,1,0.47,520,1.41,345000000,3.33E+13,321
Co3O4 ,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,2.28,46,0,15,23,4,1,1160,120,3,4.4,0,40,0,0,0.03,0.12,0.33,247761194,2.06E+12,322
Co3O4 ,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,20.34,27,2,15,23,4,1,1160,120,3,4.4,0,40,1,1,0.8,245,0.29,212686567.2,868108437.4,322
CeO2 NPs ,0,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,5.77,26.5,2.5,5,11,4,0,4,0,45,0,0,50,0.05,0.01,345000000,3.33E+13,323
CeO2 NPs ,0,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,2.28,62,0,3.52,36.5,1.5,5,11,4,0,4,0,45,1,1,5,64.6,0.05,345000000,3.33E+13,323
Pt-Decorated BN ,0,1,0,0,0,0,1,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,3.25,46,0,0,22.5,106,0,4,0,25,0,0,50,0.21,0.105,345000000,3.33E+13,324
Pt-Decorated BN ,0,1,0,0,0,0,1,0,0,0,0,100,78,0,33.3,30,2,6.56,47,0,3.25,46,0,0,22.5,106,0,4,0,25,1,1,0.5,9.2,0.105,345000000,3.33E+13,324
WS2 + Ag NCs,0,1,0,1,0,0,0,0,0,0,0,9,47,0,91,74,4,16.66,26.5,2,15.585,26.5,2,1,1000,80,0,4.4,0,25,0,0,0.2,0.11,0.02,345000000,3.33E+13,325
WS2 + Ag NCs,0,1,0,0,0,0,0,0,0,0,0,9,47,0,91,74,4,16.66,26.5,2,15.585,26.5,2,1,1000,80,0,4.4,0,25,1,1,0.5,0.03,0.01,345000000,3.33E+13,325
WS2,0,1,0,0,0,0,0,0,0,0,0,100,74,4,33.3,30,2,16.66,26.5,2,15.585,26.5,2,1,1000,4,0,4.4,0,25,0,0,0.2,0.17,0.02,345000000,3.33E+13,326
WS2,0,0,0,1,0,0,0,0,0,0,0,100,74,4,33.3,30,2,16.66,26.5,2,15.585,26.5,2,1,1000,4,0,4.4,0,25,1,1,0.5,0.06,0.01,345000000,3.33E+13,326
Ag NCs,0,1,0,0,0,0,0,0,0,0,0,100,47,0,33.3,30,2,4.905,46.5,0,3.25,46,0,0,1.6,80,0,4.4,0,25,0,0,0.2,0.38,0.02,345000000,3.33E+13,327
Ag NCs,0,1,0,0,0,0,0,0,0,0,0,100,47,0,33.3,30,2,4.905,46.5,0,3.25,46,0,0,1.6,80,0,4.4,0,25,1,1,0.5,0.14,0.02,345000000,3.33E+13,327
Pd@污Fe2O3,0,0,0,0,0,0,0,0,0,0,0,75,46,0,25,26,3,9.84,30,2,3.25,46,0,3,17,121,0,3.62,0,37,3,0,0.2,0.05,0.1,0.08,1541.95,328
Pd@污Fe2O3,0,0,0,0,0,0,0,0,0,0,0,75,46,0,25,26,3,9.84,30,2,3.25,46,0,3,17,121,0,3.62,0,37,1,4,0.5,0.25,0.13,0.09,373.29,328
WC NRs,0,0,0,0,0,0,0,0,0,0,0,100,74,4,33.3,30,2,24.845,25,4,12.75,26,2,4,175,4,0,4,0,25,0,0,400,0.27,0.07,345000000,3.33E+13,329
WC NRs,0,0,0,0,0,0,0,0,0,0,0,100,74,4,33.3,30,2,24.845,25,4,12.75,26,2,4,175,4,0,4,0,25,1,1,600,119.6,0.07,345000000,3.33E+13,329
Pt NPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,19.565,62.5,0,2.765,46,0,3.52,36.5,1.5,0,5,61,2,7,1,25,24,2,345,0.05,5.79,244.82,4502850.84,7
PtNPs@MnO2,1,0,0,0,0,0,0,0,0,0,0,92.2,25,4,7.8,78,0,16.67,28,2,15.585,26.5,2,0,250,61,0,4,0,25,23,1,0.25,0.02,0.16,345000000,3.33E+13,330
MnO2 nanosheets,1,0,0,0,0,0,0,0,0,0,0,100,25,4,33.3,30,2,13.765,25,3,8.875,36,1,1,100,4,0,4,0,25,23,1,0.25,0.1,0.26,345000000,3.33E+13,331
PtNPs,1,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,4.63,46.5,0,3.25,46,0,0,45,61,0,4,0,25,23,1,0.25,0.62,0.01,345000000,3.33E+13,332
Ru@HA-MoS2,0,1,0,1,0,0,0,0,0,0,0,75.75,44,0,24.25,42,4,16.67,28,2,15.585,26.5,2,0,206,110,2,4,0,25,0,0,10,0.27,0.08,345000000,3.33E+13,333
MnFe2O4,1,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,25,2,24.845,25,4,12.75,26,2,3,150,4,0,4,0,28,0,2,0.45,0.04,0.32,83400,2210000000,334
BSA-MnO2,0,1,0,0,0,0,0,0,0,0,0,100,25,4,29.15,53,2.5,3.25,46,0,3.25,46,0,0,4.5,80,0,4,0,35,6,0,3.3,0.31,0.08,2.73,8800,335
BSA-MnO2,0,1,0,0,0,0,0,0,0,0,0,100,25,4,29.15,53,2.5,6.545,38,1,3.25,46,0,0,4.5,80,0,4,0,35,1,5,17,0.12,0.06,1.88,15658.33,335
BSA-MnO2,1,1,0,0,0,0,0,0,0,0,0,100,25,4,29.15,53,2.5,6.545,38,1,3.25,46,0,0,4.5,80,0,4,0,35,0,2,291,0.04,5.78,192,4800000,335
Pt NCs,1,1,0,1,0,0,0,0,0,0,0,100,78,0,33.3,30,2,6.56,47,0,3.25,46,0,0,1,122,0,3,0,25,0,2,0.26,0.63,2.7,345000000,3.33E+13,336
PSS-Au@Pt0.16 NRs,1,0,0,1,0,0,0,0,0,0,0,86.21,79,0,13.79,78,0,7.13,36.5,1,3.52,36.5,1.5,4,65,83,2,4.5,0,30,0,2,200.25,15.4,0.01,350,22727.27,337
PSS-Au@Pd0.2Pt NRs,1,0,0,1,0,0,0,0,0,0,0,84.53,79,0,13.79,78,0,2.7,46,0,3.52,36.5,1.5,4,65,83,2,4.5,0,30,0,2,200.25,13.2,0.01,416.67,31565.91,338
PSS-Au@PdPt NRs,1,0,0,1,0,0,0,0,0,0,0,75.58,79,0,12.21,78,0,12.21,46,0,9.96,36.5,1,4,65,83,2,4.5,0,30,0,2,200.25,11.2,0.01,483.33,43154.46,339
Hg2+ Cit每AgNPs,1,0,0,0,0,0,0,0,0,0,0,66.7,47,0,33.3,80,2,23.96,26,2,3.79,27,3,0,9,61,0,4,0,40,0,2,0.26,0.23,0.38,345000000,3.33E+13,340
CeO2@MPEG5KMPh,2,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,31.7,123,5,1.5,0,25,1,2,2.53,0.03,0.1,0.1,3310.34,341
CeO2@MPEG2KMPEGa1K-MPh,2,1,0,1,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,29.5,124,5,1.5,0,25,1,2,2.53,0.03,0.1,0.1,3310.34,342
CeO2@MPEG2KMPEGa2K-MPh,2,1,0,1,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,31.5,124,5,1.5,0,25,1,2,2.53,0.03,0.1,0.1,3310.34,343
bare CeO2,4,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,11.01,27,2,3.79,27,3,0,9,4,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,272
CeO2@PAA2K,4,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,15.1,101,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,273
CeO2@PAA5K,4,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,40.2,101,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,274
CeO2@MPEG2KMPh,4,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,27.2,123,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,344
CeO2@MPEG5KMPh,4,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,31.7,123,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,341
CeO2@MPEG2KMPEGa1K-MPh,4,1,0,1,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,29.5,124,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,342
CeO2@MPEG2KMPEGa2K-MPh,4,1,0,1,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,6.56,47,0,3.25,46,0,0,31.5,124,5,6.8,0,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,343
bare CeO2,1,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,2.28,62,0,3.79,27,3,0,9,4,0,4,0,25,0,2,25.1,0.59,0.19,0.74,1300,272
CeO2@PAA2K,1,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,15.1,101,0,4,0,25,0,2,25.25,0.17,0.01,0.05,311,273
CeO2@PAA5K,1,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,40.2,101,0,4,0,25,0,2,27.5,0.09,0.02,0.06,730,274
CeO2@MPEG2KMPh,1,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,27.2,123,0,4,0,25,0,2,0.06,0.03,0.04,0.14,4600,344
CeO2@MPEG5KMPh,1,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,31.7,123,0,4,0,25,0,2,2.53,0.03,0.05,0.2,6500,341
bare CeO2,0,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,16.64,58,4,9.375,26,2,0,9,4,0,4,0,25,0,0,2000,0.2,0.01,0.75,3800,272
CeO2@PAA2K,0,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,15.1,101,0,4,0,25,1,1,0.8,58,0.03,3,51.72,273
CeO2@PAA2K,0,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,16.64,58,4,9.375,26,2,0,15.1,101,0,4,0,25,0,0,2000,0.03,0.02,2.45,90000,273
CeO2@PAA5K,0,0,0,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,20.805,48,3,9.375,26,2,0,40.2,101,0,4,0,25,0,0,2000,0.04,0.03,3.45,89000,274
CeO2@MPEG2KMPh,0,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,16.64,42,3,9.96,36.5,1,0,27.2,123,0,4,0,25,1,1,0.8,160,0.02,2.2,13.75,344
CeO2@MPEG2KMPh,0,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,20.805,48,3,9.375,26,2,0,27.2,123,0,4,0,25,0,0,2000,0.04,0.04,3.68,85000,344
CeO2@MPEG5KMPh,0,0,1,0,0,0,0,0,0,0,0,85.5,58,4,14.5,58,3,16.67,28,2,9.375,26,2,0,31.7,123,0,4,0,25,0,0,2000,0.04,0.04,3.6,90000,341
IrNPs,1,0,0,0,0,0,0,0,0,0,0,100,77,0,12.565,62,0,2.765,46,0,3.52,36.5,1.5,0,2.5,61,0,3.5,0,25,0,2,345,0.28,0.14,16,57142.86,345
Cerium Oxide,1,0,0,0,0,0,0,0,0,0,0,100,58,4,11,58.5,3,2.28,62,0,3.79,27,3,0,14,19,4,4,0,25,0,2,2.65,1.8,0.5,0.1,55.56,346
Cerium Oxide,1,0,0,0,0,0,0,0,0,0,0,100,58,4,16,58.5,3,13.765,25,3,8.875,36,1,0,100,19,4,7,1,25,0,2,50.5,0.8,0.3,0.06,75,346
Cerium Oxide,1,0,0,0,0,0,0,0,0,0,0,100,58,4,14.5,58,3,9.84,30,2,3.25,46,0,0,5,101,4,4,0,25,0,2,0.35,3.8,0.7,0.14,36.84,346
